Fx,Contract,Deployment,Authorized_Caller_Addresses,Authorized_Caller_Names
"renameProtocolId(uint256,string)",ProtocolIdRegistry,20230223-protocol-id-registry,['0xc38c5f97B34E175FFd35407fc91a937300E33860'],['UNDEF']
"setArbitrumFees(uint64,uint64,uint64)",ArbitrumRootGaugeFactory,20220413-arbitrum-root-gauge-factory,['0x02f35dA6A02017154367Bc4d47bb6c7D06C7533B'],['UNDEF']
"setArbitrumFees(uint64,uint64,uint64)",ArbitrumRootGaugeFactory,20220823-arbitrum-root-gauge-factory-v2,['0x02f35dA6A02017154367Bc4d47bb6c7D06C7533B'],['UNDEF']
setDelegation(address),VotingEscrowDelegationProxy,20220325-ve-delegation,['0x10A19e7eE7d7F8a52822f6817de8ea18204F2e4f'],['UNDEF']
"setFeeTypePercentage(uint256,uint256)",ProtocolFeePercentagesProvider,20220725-protocol-fee-percentages-provider,['0x10A19e7eE7d7F8a52822f6817de8ea18204F2e4f'],['UNDEF']
setFlashLoanFeePercentage(uint256),ProtocolFeesCollector,20210418-vault,['0x97207B095e4D5C9a6e4cfbfcd2C3358E03B90c4A'],['UNDEF']
setOptimismGasLimit(uint32),OptimismRootGaugeFactory,20220628-optimism-root-gauge-factory,['0x02f35dA6A02017154367Bc4d47bb6c7D06C7533B'],['UNDEF']
setPaused(bool),AaveLinearPool,20211208-aave-linear-pool,['0x02f35dA6A02017154367Bc4d47bb6c7D06C7533B'],['UNDEF']
setPaused(bool),StablePhantomPool,20211208-stable-phantom-pool,['0x02f35dA6A02017154367Bc4d47bb6c7D06C7533B'],['UNDEF']
setPaused(bool),Vault,20210418-vault,['0x170027069fd114BFF2f57B0FC796df93290C02a6'],['UNDEF']
setPaused(bool),WeightedPool,20210418-weighted-pool,['0x170027069fd114BFF2f57B0FC796df93290C02a6'],['UNDEF']
"setRelayerApproval(address,address,bool)",Vault,20210418-vault,"['0xAc9f49eF3ab0BbC929f7b1bb0A17E1Fca5786251', '0x886A3Ec7bcC508B8795990B60Fa21f85F9dB7948', '0x2536dfeeCB7A0397CF98eDaDA8486254533b1aFA', '0xfeA793Aa415061C483D2390414275AD314B3F621']","['UNDEF', 'UNDEF', 'UNDEF', 'UNDEF']"
setSwapFeePercentage(uint256),AaveLinearPool,20211208-aave-linear-pool,['0x75a52c0e32397A3FC0c052E2CeB3479802713Cf4'],['UNDEF']
setSwapFeePercentage(uint256),AaveLinearPool,20220817-aave-rebalanced-linear-pool,['0xf4A80929163C5179Ca042E1B292F5EFBBE3D89e6'],['UNDEF']
setSwapFeePercentage(uint256),AaveLinearPool,20230206-aave-rebalanced-linear-pool-v4,['0xE4a8ed6c1D8d048bD29A00946BFcf2DB10E7923B'],['UNDEF']
setSwapFeePercentage(uint256),AaveLinearPool,20230410-aave-linear-pool-v5,['0xE4a8ed6c1D8d048bD29A00946BFcf2DB10E7923B'],['UNDEF']
setSwapFeePercentage(uint256),ComposableStablePool,20220906-composable-stable-pool,"['0xE4a8ed6c1D8d048bD29A00946BFcf2DB10E7923B', '0x9008D19f58AAbD9eD0D60971565AA8510560ab41', '0xad3b67BCA8935Cb510C8D18bD45F0b94F54A968f']","['UNDEF', 'UNDEF', 'UNDEF']"
setSwapFeePercentage(uint256),ComposableStablePool,20221122-composable-stable-pool-v2,"['0xf4A80929163C5179Ca042E1B292F5EFBBE3D89e6', '0x9008D19f58AAbD9eD0D60971565AA8510560ab41', '0xad3b67BCA8935Cb510C8D18bD45F0b94F54A968f']","['UNDEF', 'UNDEF', 'UNDEF']"
setSwapFeePercentage(uint256),ComposableStablePool,20230206-composable-stable-pool-v3,"['0xE4a8ed6c1D8d048bD29A00946BFcf2DB10E7923B', '0x9008D19f58AAbD9eD0D60971565AA8510560ab41', '0xad3b67BCA8935Cb510C8D18bD45F0b94F54A968f']","['UNDEF', 'UNDEF', 'UNDEF']"
setSwapFeePercentage(uint256),ComposableStablePool,20230320-composable-stable-pool-v4,"['0xc38c5f97B34E175FFd35407fc91a937300E33860', '0x9008D19f58AAbD9eD0D60971565AA8510560ab41', '0xad3b67BCA8935Cb510C8D18bD45F0b94F54A968f']","['UNDEF', 'UNDEF', 'UNDEF']"
setSwapFeePercentage(uint256),ComposableStablePool,20230711-composable-stable-pool-v5,"['0xc38c5f97B34E175FFd35407fc91a937300E33860', '0xad3b67BCA8935Cb510C8D18bD45F0b94F54A968f']","['UNDEF', 'UNDEF']"
setSwapFeePercentage(uint256),ERC4626LinearPool,20230206-erc4626-linear-pool-v3,['0xE4a8ed6c1D8d048bD29A00946BFcf2DB10E7923B'],['UNDEF']
